Level	start_stop	Month	Week	Day	Date	Time
3.92	start	4	15	105	2016-04-14	15:12:00
1.03	stop	4	15	105	2016-04-14	18:12:00
3.26	start	4	15	106	2016-04-15	17:00:00
1.66	stop	4	15	106	2016-04-15	18:42:00
3.75	start	4	16	111	2016-04-20	09:12:00
1.57	stop	4	16	111	2016-04-20	11:00:00
4.29	start	4	16	112	2016-04-21	09:12:00
0.98	stop	4	16	112	2016-04-21	11:54:00
4.54	start	4	16	113	2016-04-22	09:24:00
0.57	stop	4	16	113	2016-04-22	12:36:00
4.69	start	4	16	114	2016-04-23	09:42:00
0.31	stop	4	16	114	2016-04-23	13:18:00
4.49	start	4	16	115	2016-04-24	10:12:00
0.18	stop	4	16	115	2016-04-24	14:00:00
4.49	start	4	17	116	2016-04-25	10:42:00
0.04	stop	4	17	116	2016-04-25	14:36:00
4.44	start	4	17	117	2016-04-26	11:18:00
0.12	stop	4	17	117	2016-04-26	15:18:00
4.17	start	4	17	118	2016-04-27	12:06:00
0.29	stop	4	17	118	2016-04-27	16:00:00
4.02	start	4	17	119	2016-04-28	13:00:00
0.43	stop	4	17	119	2016-04-28	16:36:00
3.87	start	4	17	120	2016-04-29	14:06:00
0.83	stop	4	17	120	2016-04-29	17:24:00
3.6	start	4	17	121	2016-04-30	15:30:00
1.21	stop	4	17	121	2016-04-30	18:06:00
3.29	start	5	17	122	2016-05-01	17:06:00
1.71	stop	5	17	122	2016-05-01	18:42:00
4.2	start	5	18	125	2016-05-04	07:36:00
0.99	stop	5	18	125	2016-05-04	10:06:00
5.02	start	5	18	126	2016-05-05	07:42:00
0.02	stop	5	18	126	2016-05-05	11:24:00
5.38	start	5	18	127	2016-05-06	08:06:00
-0.65	stop	5	18	127	2016-05-06	12:24:00
5.68	start	5	18	128	2016-05-07	08:36:00
-1.04	stop	5	18	128	2016-05-07	13:18:00
5.51	start	5	18	129	2016-05-08	09:18:00
-1.01	stop	5	18	129	2016-05-08	14:12:00
5.54	start	5	19	130	2016-05-09	10:00:00
-0.87	stop	5	19	130	2016-05-09	15:00:00
5.16	start	5	19	131	2016-05-10	10:54:00
-0.63	stop	5	19	131	2016-05-10	15:42:00
4.8	start	5	19	132	2016-05-11	11:54:00
-0.27	stop	5	19	132	2016-05-11	16:18:00
4.16	start	5	19	133	2016-05-12	13:12:00
0.42	stop	5	19	133	2016-05-12	16:54:00
3.58	start	5	19	134	2016-05-13	14:48:00
1.25	stop	5	19	134	2016-05-13	17:12:00
3.03	start	5	20	138	2016-05-17	08:06:00
2.02	stop	5	20	138	2016-05-17	09:06:00
3.91	start	5	20	139	2016-05-18	07:48:00
1.1	stop	5	20	139	2016-05-18	10:24:00
4.33	start	5	20	140	2016-05-19	07:54:00
0.63	stop	5	20	140	2016-05-19	11:18:00
4.65	start	5	20	141	2016-05-20	08:06:00
0.28	stop	5	20	141	2016-05-20	12:00:00
4.83	start	5	20	142	2016-05-21	08:24:00
-0.04	stop	5	20	142	2016-05-21	12:36:00
4.89	start	5	20	143	2016-05-22	08:48:00
-0.28	stop	5	20	143	2016-05-22	13:12:00
4.84	start	5	21	144	2016-05-23	09:18:00
-0.28	stop	5	21	144	2016-05-23	13:54:00
4.7	start	5	21	145	2016-05-24	09:54:00
-0.38	stop	5	21	145	2016-05-24	14:30:00
4.75	start	5	21	146	2016-05-25	10:30:00
-0.39	stop	5	21	146	2016-05-25	15:06:00
4.54	start	5	21	147	2016-05-26	11:18:00
-0.25	stop	5	21	147	2016-05-26	15:42:00
4.2	start	5	21	148	2016-05-27	12:18:00
0.1	stop	5	21	148	2016-05-27	16:18:00
3.91	start	5	21	149	2016-05-28	13:30:00
0.68	stop	5	21	149	2016-05-28	16:54:00
3.38	start	5	21	150	2016-05-29	15:12:00
1.49	stop	5	21	150	2016-05-29	17:12:00
4.24	start	6	22	153	2016-06-01	06:18:00
0.98	stop	6	22	153	2016-06-01	09:00:00
4.9	start	6	22	154	2016-06-02	06:30:00
0.01	stop	6	22	154	2016-06-02	10:24:00
5.34	start	6	22	155	2016-06-03	06:54:00
-0.59	stop	6	22	155	2016-06-03	11:30:00
5.7	start	6	22	156	2016-06-04	07:24:00
-1.02	stop	6	22	156	2016-06-04	12:24:00
5.54	start	6	22	157	2016-06-05	08:06:00
-1.27	stop	6	22	157	2016-06-05	13:12:00
5.54	start	6	23	158	2016-06-06	08:48:00
-1.14	stop	6	23	158	2016-06-06	14:00:00
5.34	start	6	23	159	2016-06-07	09:36:00
-0.94	stop	6	23	159	2016-06-07	14:42:00
5.02	start	6	23	160	2016-06-08	10:30:00
-0.65	stop	6	23	160	2016-06-08	15:18:00
4.66	start	6	23	161	2016-06-09	11:30:00
-0.19	stop	6	23	161	2016-06-09	15:48:00
4.21	start	6	23	162	2016-06-10	12:42:00
0.56	stop	6	23	162	2016-06-10	16:12:00
3.33	start	6	23	163	2016-06-11	14:30:00
1.73	stop	6	23	163	2016-06-11	16:06:00
3.64	start	6	24	167	2016-06-15	06:42:00
1.41	stop	6	24	167	2016-06-15	09:00:00
